\N	tt11011346:-	tt7833112:-	tt7833116:-	tt7833118:-	tt7913034:-	tt8932098:-	
19	tt11244462:-	
1	tt3490104:-	tt3490140:-	tt3490148:-	tt3490164:-	tt3508162:-	tt3521508:-	tt3537992:-	tt3553960:-	tt3569840:-	tt3585282:-	tt3599292:-	tt3601060:-	tt3601066:-	
2	tt3632648:-	tt3678996:-	tt3692632:-	tt3708156:-	tt3721114:-	tt3737450:-	tt3751644:-	tt3764678:-	tt3784658:-	tt3802210:-	tt3819428:-	tt3834508:-	tt3849340:-	
3	tt3865268:-	tt3880756:-	tt3896920:-	tt3911824:-	tt3945668:-	tt3961522:-	tt3979776:-	tt3997180:-	tt4017546:-	tt4032866:-	tt4053418:-	tt4068814:-	tt4081578:-	
4	tt4110408:-	tt4146404:-	tt4164026:-	tt4185650:-	tt4201172:-	tt4219640:-	tt4238830:-	tt4258968:-	tt4277478:-	tt4324490:-	tt4343868:-	tt4366530:-	tt4386880:-	
5	tt4413018:-	tt4431920:-	tt4452026:-	tt4469864:-	tt4488150:-	tt4507922:-	tt4524970:-	tt4541426:-	tt4559912:-	tt4579452:-	tt4597110:-	tt4615882:-	tt4634902:-	
6	tt4655380:-	tt4670970:-	tt4689384:-	tt4704212:-	tt4722728:-	tt4745074:-	tt4771784:-	tt4791132:-	tt4831388:-	tt4865218:-	tt4886152:-	tt4908082:-	tt4944962:-	
7	tt4962318:-	tt4981588:-	tt5002810:-	tt5022484:-	tt5041732:-	tt5060472:-	tt5080740:-	tt5099846:-	tt5121638:-	tt5145720:-	tt5165804:-	tt5184656:-	tt5201620:-	
8	tt5217972:-	tt5235054:-	tt5250494:-	tt5266862:-	tt5283112:-	tt5310300:-	tt5328970:-	tt5346830:-	tt5365874:-	tt5424454:-	tt5444048:-	tt5464208:-	tt5485954:-	
9	tt5507616:-	tt5524632:-	tt5555224:-	tt5567308:-	tt5584644:-	tt5601696:-	tt5620378:-	tt5662280:-	tt5662282:-	tt5679992:-	tt5701258:-	tt5721724:-	tt5741994:-	
10	tt5762914:-	tt5780776:-	tt5780784:-	tt5819196:-	tt5853106:-	tt5853110:-	tt5853114:-	tt5924090:-	tt5924112:-	tt5924118:-	tt5962476:-	tt5962478:-	tt6006994:-	
11	tt6050910:-	tt6092068:-	tt6092088:-	tt6092090:-	tt6134990:-	tt6135002:-	tt6153394:-	tt6175854:-	tt6238204:-	tt6238214:-	tt6238218:-	tt6275940:-	tt6275946:-	
12	tt6346046:-	tt6401102:-	tt6401126:-	tt6401132:-	tt6429132:-	tt6475702:-	tt6475716:-	tt6501008:-	tt6526528:-	tt6549504:-	tt6576102:-	tt6635866:-	tt6635870:-	
13	tt6665690:-	tt6756508:-	tt6756524:-	tt6756530:-	tt6784620:-	tt6836218:-	tt6836226:-	tt6912716:-	tt6912720:-	tt6912722:-	tt6969656:-	tt6969664:-	tt6969666:-	tt7060404:-	tt7060416:-	tt7089572:-	
14	tt7089574:-	tt7224060:-	tt7224068:-	tt7224070:-	tt7224072:-	tt7300524:-	tt7300526:-	tt7382182:-	tt7382194:-	tt7413650:-	
15	tt7413660:-	tt7413666:-	tt7413696:-	tt7538114:-	tt7538116:-	tt7538118:-	tt7538120:-	tt7622408:-	tt7622458:-	tt7672930:-	tt7672936:-	tt7672938:-	
16	tt7864832:-	tt7864848:-	tt7864858:-	tt7864860:-	tt7864864:-	tt8088582:-	tt8088596:-	tt8088616:-	tt8088620:-	tt8088622:-	tt8186958:-	tt8186978:-	tt8717332:-	
17	tt8186986:-	tt8186990:-	tt8434872:-	tt8435052:-	tt8438894:-	tt8438900:-	tt8438908:-	tt8438912:-	tt8736474:-	tt8750736:-	tt8755492:-	tt8755766:-	tt8783538:-	
18	tt8792548:-	tt8863956:-	tt8863998:-	tt8864006:-	tt8864030:-	tt8864042:-	tt8932068:-	tt8932092:-	tt8932096:-	tt9218080:-	
