1	tt2156383:-	tt2156387:-	tt2156403:-	tt2156417:-	tt2156423:-	tt2156425:-	tt2156433:-	tt2156435:-	tt2156437:-	tt2156439:-	tt2156441:-	tt2156443:-	tt2156445:-	tt2156447:-	tt2156453:-	tt2156459:-	tt2156461:-	tt2156463:-	tt2156465:-	tt2156483:-	tt2158085:-	tt2158087:-	tt2158089:-	tt2158091:-	tt2158093:-	tt2158101:-	
3	tt2156385:-	tt2156389:-	tt2156405:-	tt2156411:-	tt2156431:-	tt2156449:-	tt2156451:-	tt2156471:-	tt2156475:-	tt2156477:-	tt2156479:-	tt2156481:-	tt2156485:-	tt2156487:-	tt2158063:-	tt2158065:-	tt2158071:-	tt2158073:-	tt2158075:-	tt2158097:-	tt2158099:-	tt2255417:-	tt2256543:-	tt2256547:-	tt2256549:-	tt2256553:-	
2	tt2156391:-	tt2156393:-	tt2156395:-	tt2156397:-	tt2156399:-	tt2156401:-	tt2156407:-	tt2156409:-	tt2156413:-	tt2156419:-	tt2156427:-	tt2156429:-	tt2156455:-	tt2156457:-	tt2156467:-	tt2156469:-	tt2156473:-	tt2158067:-	tt2158069:-	tt2158077:-	tt2158079:-	tt2158081:-	tt2158083:-	tt2158095:-	tt2158103:-	
\N	tt2156415:-	tt2156421:-	
4	tt2256545:-	tt2256551:-	tt2287384:-	tt2287386:-	tt2287396:-	tt2287398:-	tt2287402:-	tt2287404:-	tt2287406:-	tt2287410:-	tt2287412:-	tt2287416:-	tt2287420:-	tt2326388:-	tt2326398:-	tt2352384:-	tt2362673:-	tt2362675:-	tt2362677:-	tt2362679:-	tt2362681:-	tt2362683:-	tt2362685:-	tt2362687:-	tt2362689:-	tt2412836:-	
5	tt2412856:-	tt2412864:-	tt2412870:-	tt2412876:-	tt2492120:-	tt2492122:-	tt2492124:-	tt2492126:-	tt2558752:-	tt2558768:-	tt2558772:-	tt2558778:-	tt2558782:-	tt2768498:-	tt2768510:-	tt2768514:-	tt2768518:-	tt2768524:-	tt2768528:-	tt2768530:-	tt2768534:-	tt2768538:-	tt2768540:-	tt2768544:-	tt2768552:-	tt2902626:-	
6	tt3041092:-	tt3041094:-	tt3041102:-	tt3041104:-	tt3041106:-	tt3041108:-	tt3041116:-	tt3041118:-	tt3041122:-	tt3041124:-	tt3041128:-	tt3252630:-	tt3252632:-	tt3252644:-	tt3252648:-	tt3252650:-	tt3252656:-	tt3252670:-	tt3252674:-	tt3252678:-	tt3252680:-	tt3252688:-	tt3252690:-	tt3252694:-	tt3452730:-	tt3452734:-	
7	tt3452740:-	tt3452750:-	tt3452754:-	tt3452758:-	tt3452762:-	tt3452764:-	tt3452768:-	tt3452772:-	tt3452780:-	tt3498604:-	tt3498608:-	tt3498614:-	tt3622812:-	tt3622822:-	tt3622828:-	tt3622832:-	tt3622840:-	tt3622842:-	tt3622846:-	tt3685652:-	tt3685654:-	tt3685660:-	tt3685662:-	tt3846184:-	tt3846186:-	tt3846188:-	
8	tt3846190:-	tt3846192:-	tt3846196:-	tt3846200:-	tt3846202:-	tt3846208:-	tt4011646:-	tt4011662:-	tt4011672:-	tt4011684:-	tt4011694:-	tt4011702:-	tt4011728:-	tt4011730:-	tt4011752:-	tt4249478:-	tt4249486:-	tt4249494:-	tt4249502:-	tt4249506:-	tt4249508:-	tt4249510:-	tt4249512:-	tt4249516:-	tt4249520:-	tt4249524:-	
9	tt4249526:-	tt4622238:-	tt4622248:-	tt4622252:-	tt4622262:-	tt4622264:-	tt4622268:-	tt4622270:-	tt4622276:-	tt4622280:-	tt4622282:-	tt4622284:-	tt4622286:-	tt4622288:-	tt4622290:-	tt4622292:-	tt4622298:-	tt4622300:-	tt4622306:-	tt4622312:-	tt4622314:-	tt5092460:-	tt5092472:-	tt5092474:-	
10	tt5092488:-	tt5092490:-	tt5092496:-	tt5092510:-	tt5092516:-	tt5092526:-	tt5092538:-	tt5092542:-	tt5092544:-	tt5092550:-	tt5092554:-	tt5092560:-	tt5092564:-	tt5092566:-	tt5092568:-	tt5092574:-	tt5092580:-	tt5376126:-	tt5376138:-	tt5376146:-	tt5376156:-	tt5376160:-	tt5376164:-	tt5376170:-	tt5376172:-	tt5376174:-	
11	tt5376182:-	tt5376188:-	tt5376190:-	tt5376192:-	tt5376198:-	tt5862534:-	tt5862540:-	tt5862546:-	tt5862550:-	tt5862552:-	tt5862558:-	tt5862568:-	tt5862576:-	tt5862580:-	tt5862590:-	tt5862596:-	tt5862598:-	tt5862602:-	tt5862610:-	tt5862614:-	tt5862622:-	tt5862624:-	tt5862626:-	tt5862630:-	tt5862632:-	tt7551806:-	
12	tt7551808:-	tt7551814:-	tt7551822:-	tt7551826:-	tt7551830:-	tt7551840:-	tt7551842:-	tt7551846:-	tt7551848:-	tt7551856:-	tt7551860:-	tt7551872:-	tt7551876:-	tt7551882:-	tt7551886:-	tt7551892:-	tt7551896:-	tt7551906:-	tt7551912:-	tt7551916:-	tt7551918:-	tt7551948:-	tt7551952:-	tt7551954:-	tt7551966:-	
13	tt7551974:-	tt7551978:-	tt7551984:-	tt7551990:-	tt7551994:-	tt7552000:-	tt7552004:-	tt7552006:-	tt7552010:-	tt7552014:-	tt7552016:-	tt7552024:-	tt7552036:-	tt7552040:-	tt7552046:-	tt7552054:-	tt7552060:-	tt7552068:-	tt7552076:-	tt7552084:-	tt7552096:-	tt7552104:-	tt7552108:-	tt7552122:-	tt7552138:-	
14	tt7552118:-	tt7552146:-	
