3	tt0123433:5.7	tt0249393:4.7	tt0394190:6.5	tt0394207:5.5	tt0394242:6.1	tt0394244:5.7	tt0394254:5.5	tt0394265:5.6	tt0394266:5.8	tt0394287:5.7	tt0394288:5.8	tt0394290:5.8	tt0394303:6.1	tt0394306:6.2	tt0394322:5.9	tt0394323:5.9	tt0394326:5.5	tt0394333:5.9	tt0394334:5.7	tt0394347:5.5	tt0394353:5.9	tt0394360:6.1	tt0394361:5.9	
5	tt0394152:5.8	tt0394153:6.3	tt0394157:5.7	tt0394191:5.5	tt0394209:5.4	tt0394211:5.7	tt0394231:6.1	tt0394237:5.6	tt0394243:5.9	tt0394258:5.6	tt0394259:6.0	tt0394260:6.1	tt0394291:6.0	tt0394296:6.2	tt0394307:5.5	tt0394308:5.6	tt0394316:6.1	tt0394325:6.4	tt0394327:6.3	tt0394328:6.1	tt0394332:5.9	tt0394368:6.2	
10	tt0394154:6.2	tt0394161:5.6	tt0394164:5.6	tt0394166:5.5	tt0394173:5.7	tt0394208:5.7	tt0394210:5.9	tt0394220:5.7	tt0394226:5.9	tt0394236:5.9	tt0394245:6.2	tt0394246:5.4	tt0394255:5.8	tt0394257:5.6	tt0394264:6.0	tt0394268:5.5	tt0394301:5.8	tt0394319:6.0	tt0394335:5.7	tt0394338:6.1	tt0394349:5.9	tt0394366:5.7	
1	tt0394155:6.0	tt0394168:6.1	tt0394188:6.0	tt0394189:6.2	tt0394199:6.3	tt0394200:6.3	tt0394203:6.5	tt0394225:6.2	tt0394229:5.9	tt0394239:6.5	tt0394270:6.0	tt0394274:6.4	tt0394283:6.0	tt0394300:5.7	tt0394304:6.1	tt0394315:6.3	tt0394317:7.1	tt0394324:6.3	tt0394329:6.2	tt0394331:6.0	tt0394365:5.9	
7	tt0394156:5.8	tt0394162:5.6	tt0394174:6.3	tt0394177:6.2	tt0394182:5.6	tt0394221:5.5	tt0394222:5.8	tt0394224:5.8	tt0394235:5.4	tt0394249:5.6	tt0394250:6.0	tt0394251:5.7	tt0394256:5.7	tt0394267:6.0	tt0394276:5.4	tt0394297:5.6	tt0394311:5.4	tt0394313:5.9	tt0394318:5.6	tt0394344:5.9	tt0394357:5.8	tt0394371:5.6	
6	tt0394158:6.6	tt0394159:5.1	tt0394163:5.7	tt0394192:4.7	tt0394205:6.3	tt0394212:6.2	tt0394213:5.7	tt0394214:5.4	tt0394219:5.6	tt0394228:6.2	tt0394230:6.0	tt0394233:6.5	tt0394240:6.1	tt0394247:5.6	tt0394248:6.0	tt0394262:5.5	tt0394309:6.2	tt0394340:6.1	tt0394341:5.5	tt0394350:5.9	tt0394355:6.6	tt0394356:6.4	
9	tt0394160:5.4	tt0394165:5.3	tt0394172:5.2	tt0394175:5.8	tt0394181:5.5	tt0394186:5.3	tt0394187:5.3	tt0394194:5.1	tt0394195:5.2	tt0394196:5.1	tt0394197:5.2	tt0394198:5.9	tt0394201:5.6	tt0394215:5.3	tt0394217:5.5	tt0394234:5.5	tt0394275:6.2	tt0394321:5.8	tt0394342:5.7	tt0394343:5.3	tt0394363:4.9	tt0394364:5.4	
2	tt0394167:5.7	tt0394169:5.6	tt0394176:5.8	tt0394204:5.7	tt0394218:6.0	tt0394238:6.2	tt0394261:5.7	tt0394273:5.8	tt0394279:5.8	tt0394280:5.5	tt0394282:4.8	tt0394284:5.6	tt0394289:5.6	tt0394299:5.6	tt0394310:5.7	tt0394312:5.7	tt0394320:5.8	tt0394337:5.7	tt0394348:5.8	tt0394358:6.3	tt0394359:5.8	tt0394362:5.6	
4	tt0394170:6.2	tt0394179:6.0	tt0394183:6.2	tt0394184:5.9	tt0394206:6.0	tt0394223:5.7	tt0394241:6.3	tt0394252:5.6	tt0394263:6.5	tt0394271:6.0	tt0394293:5.8	tt0394294:5.9	tt0394295:6.0	tt0394298:6.2	tt0394314:5.8	tt0394330:6.2	tt0394336:6.3	tt0394345:5.8	tt0394346:5.8	tt0394352:5.4	tt0394354:5.5	tt0394367:5.6	
8	tt0394171:5.5	tt0394178:6.5	tt0394180:5.1	tt0394185:5.3	tt0394193:4.9	tt0394202:5.8	tt0394216:5.3	tt0394227:5.6	tt0394232:5.9	tt0394253:5.3	tt0394269:5.3	tt0394272:5.4	tt0394277:5.6	tt0394278:5.0	tt0394281:5.2	tt0394285:5.7	tt0394292:5.9	tt0394305:5.7	tt0394351:5.3	tt0394369:6.3	tt0394370:5.6	tt1042615:5.6	
11	tt0519874:5.1	tt0519882:5.9	tt0519892:5.5	tt0519896:5.2	tt0519898:6.1	tt0519902:5.5	tt0519914:5.4	tt0519915:5.5	tt0519922:5.1	tt0519928:5.4	tt0519962:5.4	tt0519978:5.2	tt0519988:5.5	tt0520011:6.0	tt0520043:5.7	tt0520045:5.1	tt0520061:5.2	tt0520070:5.3	tt0520082:5.7	tt0520086:5.5	tt0520093:5.3	tt0520098:5.3	
