5	tt0977035:-	tt0977036:-	tt0977037:-	tt0977038:-	tt2300062:-	tt2300252:-	
6	tt0977039:-	tt0977040:-	tt2306840:-	tt2306870:-	tt2307884:-	tt2308102:-	
9	tt0977041:-	tt0977042:-	tt0977043:-	tt0977044:-	tt0977045:-	tt0977046:-	
3	tt1219605:-	tt1469681:-	tt2587290:8.5	tt2599912:-	tt2636046:-	tt2639778:-	tt2641976:-	tt2701264:-	tt2703924:-	tt2704158:-	tt7094976:-	
1	tt1332394:7.7	tt1332395:8.9	tt1332396:9.0	tt1332397:9.0	tt1332398:7.5	tt1332399:8.7	tt1332400:9.2	tt1332401:9.0	tt1332402:8.9	tt1332403:9.0	tt1332404:8.9	tt1332405:9.0	
2	tt1469679:-	tt1469680:-	tt2117541:-	tt2136218:8.6	tt2345201:-	tt2345203:-	tt2345205:-	tt2345207:-	tt2345209:-	tt2345211:-	tt2345213:-	
4	tt1469682:-	tt2298888:-	tt2298916:-	tt3325696:-	tt3325698:-	tt3325700:-	
\N	tt1469964:-	tt1548196:-	
7	tt1487019:-	tt1487020:-	tt2309082:-	tt2309130:-	tt2309138:-	
19	tt2136219:-	tt2693560:-	tt2693562:-	tt2693564:-	tt2693570:-	tt2693572:-	
8	tt2309774:-	tt2309776:7.8	tt2309778:-	tt2309780:-	tt2309782:-	tt2309784:-	
10	tt2365110:-	tt2575424:-	tt2575430:-	tt2575432:-	tt2575434:-	tt2575436:-	
11	tt2560998:-	tt2561200:-	tt2561202:-	tt2561206:-	tt2561216:-	tt2561226:-	
12	tt2561924:-	tt2561930:-	tt2561932:-	tt2561934:-	tt2561936:-	tt2561940:-	
13	tt2561942:-	tt2561948:-	tt2561950:-	tt2561952:-	tt2561954:-	tt2561956:-	
14	tt2567924:-	tt2567928:-	tt2567932:-	tt2567934:-	tt2567938:-	tt2567944:-	
15	tt2567948:-	tt2567958:-	tt2567964:-	tt2567968:-	tt2567974:-	tt2567978:-	
16	tt2575438:-	tt2575446:-	tt2575450:-	tt2575454:-	tt2575456:-	tt2575458:-	
17	tt2578424:-	tt2578432:-	tt2578438:-	tt2578450:-	tt2578454:-	tt2578458:-	
18	tt2583606:-	tt2583622:-	tt2653112:-	tt2653126:-	tt2653358:-	tt2653362:-	tt2693556:-	
